task,seed,model,scenario,mismatch_rate,feature_set,n,accuracy,balanced_accuracy,f1_macro,roc_auc
UCEC_molecular_subtype,42,logistic_l2,mrna_only,0.0,mrna,153.0,0.8431372549019608,0.8107555143269428,0.8081087926995822,0.9543787423223415
UCEC_molecular_subtype,42,logistic_l2,train_misaligned,0.0,multiomics_core,153.0,0.9215686274509803,0.9223716759431047,0.9278446077925454,0.9822532406202495
UCEC_molecular_subtype,42,logistic_l2,test_misaligned,0.0,multiomics_core,153.0,0.9215686274509803,0.9223716759431047,0.9278446077925454,0.9822532406202495
UCEC_molecular_subtype,42,logistic_l2,train_misaligned,0.1,multiomics_core,153.0,0.9215686274509803,0.9219181612038754,0.9274690826414965,0.9824978039882656
UCEC_molecular_subtype,42,logistic_l2,test_misaligned,0.1,multiomics_core,153.0,0.8562091503267973,0.8455756545042259,0.8499284831763887,0.9518018837547175
UCEC_molecular_subtype,42,logistic_l2,train_misaligned,0.25,multiomics_core,153.0,0.9084967320261438,0.9108070500927643,0.9166241498229637,0.9778378451721266
UCEC_molecular_subtype,42,logistic_l2,test_misaligned,0.25,multiomics_core,153.0,0.8235294117647058,0.807519068233354,0.8156187712768772,0.9304282544519009
UCEC_molecular_subtype,42,logistic_l2,train_misaligned,0.5,multiomics_core,153.0,0.869281045751634,0.8666898577612864,0.8777600584171377,0.9658152124149316
UCEC_molecular_subtype,42,logistic_l2,test_misaligned,0.5,multiomics_core,153.0,0.7254901960784313,0.7027674706246135,0.7064220320360027,0.8531226829888198
UCEC_molecular_subtype,42,logistic_l2,train_misaligned,0.75,multiomics_core,153.0,0.8562091503267973,0.8111343022057308,0.8175062515124627,0.9470735286295369
UCEC_molecular_subtype,42,logistic_l2,test_misaligned,0.75,multiomics_core,153.0,0.5947712418300654,0.5529066171923315,0.5493072987347961,0.7959440243493308
UCEC_molecular_subtype,42,logistic_l2,train_misaligned,1.0,multiomics_core,153.0,0.7712418300653595,0.7074675324675325,0.7178021978021978,0.9109214943081704
UCEC_molecular_subtype,42,logistic_l2,test_misaligned,1.0,multiomics_core,153.0,0.5098039215686274,0.4786410018552875,0.4805036855986252,0.7185040169996972
UCEC_molecular_subtype,42,extra_trees,mrna_only,0.0,mrna,153.0,0.7908496732026143,0.7000979179550608,0.7147826086956522,0.9137447653349557
UCEC_molecular_subtype,42,extra_trees,train_misaligned,0.0,multiomics_core,153.0,0.9411764705882353,0.9270202020202021,0.9376374671618806,0.9866744899579946
UCEC_molecular_subtype,42,extra_trees,test_misaligned,0.0,multiomics_core,153.0,0.9411764705882353,0.9270202020202021,0.9376374671618806,0.9866744899579946
UCEC_molecular_subtype,42,extra_trees,train_misaligned,0.1,multiomics_core,153.0,0.934640522875817,0.9213383838383838,0.9316133707763385,0.984740192444731
UCEC_molecular_subtype,42,extra_trees,test_misaligned,0.1,multiomics_core,153.0,0.8627450980392157,0.8400200989486704,0.8530896686159845,0.9460691869055593
UCEC_molecular_subtype,42,extra_trees,train_misaligned,0.25,multiomics_core,153.0,0.9150326797385621,0.893560606060606,0.908438830205209,0.9840562810360868
UCEC_molecular_subtype,42,extra_trees,test_misaligned,0.25,multiomics_core,153.0,0.7973856209150327,0.7739332096474953,0.7860493210493211,0.9126876014027309
UCEC_molecular_subtype,42,extra_trees,train_misaligned,0.5,multiomics_core,153.0,0.8823529411764706,0.8656565656565658,0.8748676345467059,0.9808764580860252
UCEC_molecular_subtype,42,extra_trees,test_misaligned,0.5,multiomics_core,153.0,0.5882352941176471,0.5775329828901258,0.5839345245444765,0.8081081374522043
UCEC_molecular_subtype,42,extra_trees,train_misaligned,0.75,multiomics_core,153.0,0.8496732026143791,0.794014120799835,0.8181302124479051,0.9604564519379624
UCEC_molecular_subtype,42,extra_trees,test_misaligned,0.75,multiomics_core,153.0,0.5032679738562091,0.4632601525458668,0.4649641650502236,0.741957996989425
UCEC_molecular_subtype,42,extra_trees,train_misaligned,1.0,multiomics_core,153.0,0.7516339869281046,0.6347170686456401,0.6188754012841091,0.8888832737899004
UCEC_molecular_subtype,42,extra_trees,test_misaligned,1.0,multiomics_core,153.0,0.38562091503267976,0.3667104720676149,0.3715670397713741,0.6260237298649783
UCEC_molecular_subtype,43,logistic_l2,mrna_only,0.0,mrna,153.0,0.803921568627451,0.792339208410637,0.7840217624003689,0.9344276848125991
UCEC_molecular_subtype,43,logistic_l2,train_misaligned,0.0,multiomics_core,153.0,0.8888888888888888,0.8967867450010307,0.8866803076213688,0.9744164980593457
UCEC_molecular_subtype,43,logistic_l2,test_misaligned,0.0,multiomics_core,153.0,0.8888888888888888,0.8967867450010307,0.8866803076213688,0.9744164980593457
UCEC_molecular_subtype,43,logistic_l2,train_misaligned,0.1,multiomics_core,153.0,0.8888888888888888,0.89575345289631,0.8856052617365852,0.9749235983093087
UCEC_molecular_subtype,43,logistic_l2,test_misaligned,0.1,multiomics_core,153.0,0.8627450980392157,0.8748917748917748,0.8644452769909755,0.9674477399652069
UCEC_molecular_subtype,43,logistic_l2,train_misaligned,0.25,multiomics_core,153.0,0.869281045751634,0.8577715934858792,0.8620553626780216,0.9691735960551531
UCEC_molecular_subtype,43,logistic_l2,test_misaligned,0.25,multiomics_core,153.0,0.7581699346405228,0.7658704390847249,0.7608631339786525,0.9249525198330052
UCEC_molecular_subtype,43,logistic_l2,train_misaligned,0.5,multiomics_core,153.0,0.8627450980392157,0.8637806637806638,0.8590620668308504,0.9691289895384304
UCEC_molecular_subtype,43,logistic_l2,test_misaligned,0.5,multiomics_core,153.0,0.6535947712418301,0.6463177695320552,0.6367690058479533,0.8623493729720106
UCEC_molecular_subtype,43,logistic_l2,train_misaligned,0.75,multiomics_core,153.0,0.8431372549019608,0.8130746237889095,0.8247314038397564,0.9541739651128995
UCEC_molecular_subtype,43,logistic_l2,test_misaligned,0.75,multiomics_core,153.0,0.5163398692810458,0.49853380746237885,0.4917803280658535,0.7718505300011606
UCEC_molecular_subtype,43,logistic_l2,train_misaligned,1.0,multiomics_core,153.0,0.7189542483660131,0.6413806431663575,0.6441770856181911,0.8717014608364069
UCEC_molecular_subtype,43,logistic_l2,test_misaligned,1.0,multiomics_core,153.0,0.43790849673202614,0.3767135642135642,0.3788157308377897,0.6463237536217319
UCEC_molecular_subtype,43,extra_trees,mrna_only,0.0,mrna,153.0,0.7973856209150327,0.7187564419707277,0.7255395334312384,0.9319612417800586
UCEC_molecular_subtype,43,extra_trees,train_misaligned,0.0,multiomics_core,153.0,0.9215686274509803,0.9232039785611215,0.9136711502782932,0.9820309768707034
UCEC_molecular_subtype,43,extra_trees,test_misaligned,0.0,multiomics_core,153.0,0.9215686274509803,0.9232039785611215,0.9136711502782932,0.9820309768707034
UCEC_molecular_subtype,43,extra_trees,train_misaligned,0.1,multiomics_core,153.0,0.9084967320261438,0.9119666048237478,0.9023075139146568,0.9818586372980103
UCEC_molecular_subtype,43,extra_trees,test_misaligned,0.1,multiomics_core,153.0,0.8823529411764706,0.8898191094619667,0.8802746098439376,0.9694531075563588
UCEC_molecular_subtype,43,extra_trees,train_misaligned,0.25,multiomics_core,153.0,0.9019607843137255,0.9060837971552258,0.8956841769341769,0.9805276490285846
UCEC_molecular_subtype,43,extra_trees,test_misaligned,0.25,multiomics_core,153.0,0.7712418300653595,0.7754947433518862,0.7672289458419026,0.8999385658557438
UCEC_molecular_subtype,43,extra_trees,train_misaligned,0.5,multiomics_core,153.0,0.9019607843137255,0.9171433725005154,0.9070549686389184,0.9827116929921142
UCEC_molecular_subtype,43,extra_trees,test_misaligned,0.5,multiomics_core,153.0,0.6274509803921569,0.6346268810554525,0.6270901493669347,0.8396660572297361
UCEC_molecular_subtype,43,extra_trees,train_misaligned,0.75,multiomics_core,153.0,0.8300653594771242,0.7675221603793032,0.7859511064453429,0.9517137409078862
UCEC_molecular_subtype,43,extra_trees,test_misaligned,0.75,multiomics_core,153.0,0.477124183006536,0.45300453514739225,0.4530982154134863,0.6814505931602268
UCEC_molecular_subtype,43,extra_trees,train_misaligned,1.0,multiomics_core,153.0,0.7254901960784313,0.6015847247990105,0.5714942110285559,0.9023222604848418
UCEC_molecular_subtype,43,extra_trees,test_misaligned,1.0,multiomics_core,153.0,0.3464052287581699,0.28797412904555764,0.29125,0.5829249470918868
UCEC_molecular_subtype,44,logistic_l2,mrna_only,0.0,mrna,153.0,0.8300653594771242,0.8114100185528758,0.8149962093716665,0.9485966971546633
UCEC_molecular_subtype,44,logistic_l2,train_misaligned,0.0,multiomics_core,153.0,0.9150326797385621,0.9170686456400743,0.9119625232369551,0.9859290025386463
UCEC_molecular_subtype,44,logistic_l2,test_misaligned,0.0,multiomics_core,153.0,0.9150326797385621,0.9170686456400743,0.9119625232369551,0.9859290025386463
UCEC_molecular_subtype,44,logistic_l2,train_misaligned,0.1,multiomics_core,153.0,0.8954248366013072,0.8671949082663368,0.8750454019205012,0.9821788991548981
UCEC_molecular_subtype,44,logistic_l2,test_misaligned,0.1,multiomics_core,153.0,0.8758169934640523,0.8849695938981654,0.8798998280939304,0.9785097873208704
UCEC_molecular_subtype,44,logistic_l2,train_misaligned,0.25,multiomics_core,153.0,0.869281045751634,0.8325757575757576,0.8481915312544116,0.9750783066657349
UCEC_molecular_subtype,44,logistic_l2,test_misaligned,0.25,multiomics_core,153.0,0.7908496732026143,0.8028190063904349,0.7989357033135835,0.9399729305414418
UCEC_molecular_subtype,44,logistic_l2,train_misaligned,0.5,multiomics_core,153.0,0.869281045751634,0.8444676355390641,0.8444174895017592,0.9688054361860957
UCEC_molecular_subtype,44,logistic_l2,test_misaligned,0.5,multiomics_core,153.0,0.6405228758169934,0.610338074623789,0.6105261015264101,0.8495227836604127
UCEC_molecular_subtype,44,logistic_l2,train_misaligned,0.75,multiomics_core,153.0,0.8431372549019608,0.8217403628117914,0.8297412249445624,0.9432286219410446
UCEC_molecular_subtype,44,logistic_l2,test_misaligned,0.75,multiomics_core,153.0,0.5490196078431373,0.513512677798392,0.5143556416587931,0.7705681804691087
UCEC_molecular_subtype,44,logistic_l2,train_misaligned,1.0,multiomics_core,153.0,0.7777777777777778,0.711662543805401,0.7209442248572683,0.9343681566975788
UCEC_molecular_subtype,44,logistic_l2,test_misaligned,1.0,multiomics_core,153.0,0.42483660130718953,0.4006751185322614,0.3936225098413456,0.6965855843911177
UCEC_molecular_subtype,44,extra_trees,mrna_only,0.0,mrna,153.0,0.7581699346405228,0.6493918779633066,0.6444294973410316,0.9062731547074196
UCEC_molecular_subtype,44,extra_trees,train_misaligned,0.0,multiomics_core,153.0,0.9084967320261438,0.8775999793856937,0.8908977390829746,0.9880176813671758
UCEC_molecular_subtype,44,extra_trees,test_misaligned,0.0,multiomics_core,153.0,0.9084967320261438,0.8775999793856937,0.8908977390829746,0.9880176813671758
UCEC_molecular_subtype,44,extra_trees,train_misaligned,0.1,multiomics_core,153.0,0.9215686274509803,0.8883838383838384,0.9015626173841184,0.9868831117579859
UCEC_molecular_subtype,44,extra_trees,test_misaligned,0.1,multiomics_core,153.0,0.8562091503267973,0.834263553906411,0.8478143647698103,0.971920721625833
UCEC_molecular_subtype,44,extra_trees,train_misaligned,0.25,multiomics_core,153.0,0.9150326797385621,0.8827020202020202,0.8959186934563131,0.9845626296777755
UCEC_molecular_subtype,44,extra_trees,test_misaligned,0.25,multiomics_core,153.0,0.7712418300653595,0.7525664811379097,0.7650231689835649,0.933780676982371
UCEC_molecular_subtype,44,extra_trees,train_misaligned,0.5,multiomics_core,153.0,0.8431372549019608,0.7767676767676768,0.78921863482235,0.9708604194762396
UCEC_molecular_subtype,44,extra_trees,test_misaligned,0.5,multiomics_core,153.0,0.6209150326797386,0.5821815089672232,0.5903381757561325,0.80225848324913
UCEC_molecular_subtype,44,extra_trees,train_misaligned,0.75,multiomics_core,153.0,0.7908496732026143,0.7097222222222223,0.7288395695769136,0.9508661399686766
UCEC_molecular_subtype,44,extra_trees,test_misaligned,0.75,multiomics_core,153.0,0.48366013071895425,0.44621469800041225,0.44907407407407407,0.7005286786062519
UCEC_molecular_subtype,44,extra_trees,train_misaligned,1.0,multiomics_core,153.0,0.7124183006535948,0.5992656153370439,0.5838191699604742,0.8981935641439032
UCEC_molecular_subtype,44,extra_trees,test_misaligned,1.0,multiomics_core,153.0,0.3333333333333333,0.29991754277468563,0.30030456306500214,0.5746294326547
COADREAD_molecular_subtype,42,logistic_l2,mrna_only,0.0,mrna,135.0,0.9333333333333333,0.8905567543338441,0.8918086918086918,0.9797228218076782
COADREAD_molecular_subtype,42,logistic_l2,train_misaligned,0.0,multiomics_core,135.0,0.9259259259259259,0.8871897509668406,0.8831699720024592,0.9746732492384426
COADREAD_molecular_subtype,42,logistic_l2,test_misaligned,0.0,multiomics_core,135.0,0.9259259259259259,0.8871897509668406,0.8831699720024592,0.9746732492384426
COADREAD_molecular_subtype,42,logistic_l2,train_misaligned,0.1,multiomics_core,135.0,0.9259259259259259,0.8871897509668406,0.8831699720024592,0.9764602563428308
COADREAD_molecular_subtype,42,logistic_l2,test_misaligned,0.1,multiomics_core,135.0,0.8814814814814815,0.7919754823779591,0.800975778362713,0.9388223285451244
COADREAD_molecular_subtype,42,logistic_l2,train_misaligned,0.25,multiomics_core,135.0,0.9333333333333333,0.9067975941040957,0.8963044677330392,0.9819874458181759
COADREAD_molecular_subtype,42,logistic_l2,test_misaligned,0.25,multiomics_core,135.0,0.8666666666666667,0.771064619361833,0.7916729483893663,0.9269361598865324
COADREAD_molecular_subtype,42,logistic_l2,train_misaligned,0.5,multiomics_core,135.0,0.9407407407407408,0.879746901418728,0.8930501089324618,0.972638388612688
COADREAD_molecular_subtype,42,logistic_l2,test_misaligned,0.5,multiomics_core,135.0,0.8222222222222222,0.6758503507729513,0.7014260249554366,0.8717885672555541
COADREAD_molecular_subtype,42,logistic_l2,train_misaligned,0.75,multiomics_core,135.0,0.8962962962962963,0.8412400579583242,0.8366500006361081,0.9571561721098693
COADREAD_molecular_subtype,42,logistic_l2,test_misaligned,0.75,multiomics_core,135.0,0.6962962962962963,0.46858679676017134,0.47671568627450983,0.7556025727165664
COADREAD_molecular_subtype,42,logistic_l2,train_misaligned,1.0,multiomics_core,135.0,0.9185185185185185,0.869645891317718,0.872053872053872,0.9729677555511408
COADREAD_molecular_subtype,42,logistic_l2,test_misaligned,1.0,multiomics_core,135.0,0.6518518518518519,0.3450188156070509,0.3310624012638231,0.7138823287393105
