dataset,model,runs,n_mean,f1_macro_mean,f1_macro_sd,balanced_accuracy_mean,roc_auc_mean,mean_abs_standardized_shift,domain_classifier_auc,raw_domain_classifier_auc
CPTAC_2020,extra_trees,3,122.0,0.8439673845481468,0.017366428617144894,0.8202870936638419,0.988707010549598,0.03835050297681208,0.759603951882105,0.24039604811789497
SCANB_GSE96058,extra_trees,3,3137.0,0.8465240815823843,0.00811419510566469,0.8526030230959263,0.9824364441397421,0.03814340968391394,0.5133201157839813,0.5133201157839813
SMC_2018,extra_trees,3,168.0,0.9027559147446907,0.001873790489659472,0.9189864823907378,0.9887701160608868,0.06515597417515254,0.5164577241332052,0.4835422758667948
TCGA_METABRIC_valid,extra_trees,3,411.0,0.8224858251876697,0.0024954539413459113,0.801645753547786,0.9771931131844863,0.0,0.5,
CPTAC_2020,logistic_l2,3,122.0,0.8748912087521031,0.0,0.9012532345061436,0.9878250724971883,0.03835050297681208,0.759603951882105,0.24039604811789497
SCANB_GSE96058,logistic_l2,3,3137.0,0.7850646800803066,0.0,0.8603224861446908,0.980132482738108,0.03814340968391394,0.5133201157839813,0.5133201157839813
SMC_2018,logistic_l2,3,168.0,0.775050447901933,0.0,0.8731805782869614,0.9857513294112042,0.06515597417515254,0.5164577241332052,0.4835422758667948
TCGA_METABRIC_valid,logistic_l2,3,411.0,0.8218922960453522,0.0,0.852101789126281,0.9762633026851132,0.0,0.5,
